model,revision,n_questions,n_est_questions,acc,recall_A,recall_B,recall_C,recall_D,RStd,acc_std_over_perm,acc_heldout_raw,RStd_heldout_raw,acc_heldout_pride,RStd_heldout_pride,acc_std_over_perm_pride,RStd_reduction_pct,prior_A,prior_B,prior_C,prior_D
EleutherAI/pythia-160m-deduped,step143000,400,100,0.2525,0.9862,0.0006,0.0081,0.005,0.4251,0.0318,0.2533,0.4244,0.2392,0.0322,0.0463,92.4,1.53,-0.4855,-0.3427,-0.7019
EleutherAI/pythia-410m-deduped,step143000,400,100,0.25,0.9069,0.0694,0.0213,0.0025,0.38,0.0242,0.2517,0.3776,0.2442,0.0646,0.0146,82.9,0.8978,0.0315,-0.1445,-0.7848
EleutherAI/pythia-2.8b-deduped,step143000,400,100,0.2506,0.1156,0.3631,0.3912,0.13,0.1277,0.008,0.2467,0.1293,0.24,0.099,0.0071,23.5,-0.2013,0.0965,0.1119,-0.0071
