step,train_acc,test_acc,train_loss,test_loss,weight_l2,w_eff_rank,act_eff_rank,act_sparsity,act_kurtosis,gzip_bytes
0,0.018336433696518734,0.019128586609989374,4.7212018966674805,4.632350444793701,114.23007525292215,63.51386798752679,25.45146942138672,0.5040168762207031,2.076976776123047,220948
200,0.9723624767472762,0.3942614240170032,0.07507028430700302,13.60782241821289,104.3972147309252,39.20369521776835,32.054969787597656,0.4658088684082031,2.045863151550293,213370
400,0.9946850916821685,0.3887708111937655,0.013707228004932404,13.692395210266113,90.97547659711122,37.16430004437765,33.43687438964844,0.46564483642578125,1.9659771919250488,207243
600,0.9989370183364337,0.3924902585901523,0.003078681183978915,13.832367897033691,81.06021586415528,35.59023310078515,33.401145935058594,0.4643135070800781,2.17573881149292,200796
800,0.9997342545841085,0.39479277364505844,0.001275674905627966,13.640263557434082,73.77530296235038,34.3399338722229,33.81657791137695,0.4642829895019531,2.4281063079833984,197635
1000,0.9997342545841085,0.39620970598653915,0.000535031664185226,15.189061164855957,69.61133134278445,33.03457489278581,34.31964111328125,0.4630012512207031,2.794891357421875,196853
1200,0.9997342545841085,0.3970952886999646,0.00040030168020166457,16.8039608001709,67.92014704915833,31.804733408821953,34.653133392333984,0.4622306823730469,3.631077766418457,196564
1400,0.9997342545841085,0.3976266383280198,0.0007940697832964361,12.910932540893555,62.787540680775116,31.342819650967915,34.61086654663086,0.463165283203125,3.5349817276000977,195339
1600,1.0,0.39744952178533477,6.238624337129295e-05,14.88654899597168,62.115986578895985,30.561075104607475,34.68235778808594,0.4624595642089844,3.4903249740600586,195126
1800,1.0,0.3970952886999646,8.433104085270315e-06,16.747703552246094,61.52721353623304,29.912814246283638,34.671112060546875,0.4626350402832031,3.4902400970458984,196574
2000,1.0,0.3976266383280198,1.3822623259329703e-06,18.234773635864258,60.293211616840075,29.41029205587175,34.60279083251953,0.4622993469238281,3.449974536895752,198613
2200,1.0,0.39868933758413033,4.4737527105098707e-07,18.6944522857666,58.1854781794209,29.046324306064182,34.63671875,0.4620018005371094,3.361806869506836,200333
2400,1.0,0.40010626992561105,3.281977285496396e-07,18.321992874145508,55.96230953014578,28.722965213987564,34.68770980834961,0.4620208740234375,3.2718849182128906,201606
2600,1.0,0.4009918526390365,3.1834545666242775e-07,17.851449966430664,54.35650198225496,28.335474411646526,34.624916076660156,0.46172332763671875,3.2598438262939453,202573
2800,1.0,0.4024087849805172,3.187572872320743e-07,17.40367889404297,53.30014524601082,27.90511079629262,34.50249099731445,0.46094512939453125,3.277644157409668,203235
3000,1.0,0.4027630180658874,3.1796528787708667e-07,16.95439338684082,52.5816577376392,27.477938493092854,34.33748245239258,0.46036529541015625,3.307559013366699,203507
3200,1.0,0.4036486007793128,3.147339953102346e-07,16.495208740234375,52.05476721297059,27.076218128204346,34.164466857910156,0.460174560546875,3.3524441719055176,203703
3400,1.0,0.4029401346085724,3.1264318067769636e-07,16.03843116760254,51.64510379823301,26.706783519850838,33.942691802978516,0.4601097106933594,3.409824848175049,203245
3600,1.0,0.40453418349273823,3.085565367655363e-07,15.574402809143066,51.304556358359164,26.37263458304935,33.714595794677734,0.4600830078125,3.4581642150878906,202793
3800,1.0,0.40541976620616366,3.0614890533797734e-07,15.111968040466309,51.006213108905264,26.06483545568254,33.42788314819336,0.4594001770019531,3.5144248008728027,202573
4000,1.0,0.4059511158342189,3.0469166745206167e-07,14.664875030517578,50.7489072747813,25.787668625513714,33.025691986083984,0.458282470703125,3.5453600883483887,202255
