step,train_acc,test_acc,train_loss,test_loss,weight_l2,w_eff_rank,act_eff_rank,act_sparsity,act_kurtosis,gzip_bytes
0,0.012490034546904066,0.008855827134254339,4.818544864654541,4.70240592956543,114.38959740759597,63.78456825680203,25.92912483215332,0.4892311096191406,2.879946231842041,220992
200,0.9489768801488174,0.371413390010627,0.14406298100948334,13.43903636932373,104.27094857167911,39.00961979230245,29.35805892944336,0.4566650390625,2.3938379287719727,212106
400,0.9835237842147223,0.37318455543747786,0.037456054240465164,13.698599815368652,90.85086419285501,36.89687878555722,30.6153621673584,0.45693206787109375,2.507904052734375,209006
600,0.9978740366728674,0.3799149840595112,0.006837734952569008,13.891992568969727,80.86923231256264,35.19655358791351,30.65867805480957,0.45538330078125,2.67240571975708,202726
800,0.9994685091682168,0.38682252922422955,0.0017479183152318,14.038789749145508,73.49187286283649,33.92053356435564,31.33949089050293,0.455352783203125,2.8592963218688965,198649
1000,1.0,0.3928444916755225,0.00014307173842098564,15.480863571166992,69.5613899845011,32.6405100689994,31.668960571289062,0.4544563293457031,3.3790531158447266,197596
1200,1.0,0.39213602550478216,2.058503741864115e-05,17.087053298950195,66.97071434269438,31.536367734273274,31.752599716186523,0.45426177978515625,4.07710075378418,198278
1400,1.0,0.39213602550478216,3.0049029646761483e-06,18.786746978759766,64.82354573782293,30.671925875875687,31.72287940979004,0.45366668701171875,4.650426387786865,199207
1600,1.0,0.3930216082182076,6.68274935833324e-07,19.8892822265625,62.19299140147819,30.067996594640945,31.662757873535156,0.4530601501464844,4.927190780639648,200110
1800,1.0,0.3928444916755225,3.5765947359323036e-07,19.825557708740234,59.072545653512066,29.69536711110009,31.763582229614258,0.4532890319824219,4.919193267822266,200985
2000,1.0,0.3930216082182076,3.2113322845361836e-07,19.40237808227539,56.52042178088405,29.31017499499851,31.902036666870117,0.4535331726074219,4.770595550537109,201628
2200,1.0,0.3944385405596883,3.22368720162558e-07,18.940387725830078,54.852666867918906,28.842710230085586,31.956623077392578,0.454071044921875,4.624353408813477,202344
