step,train_acc,test_acc,train_loss,test_loss,weight_l2,w_eff_rank,act_eff_rank,act_sparsity,act_kurtosis,gzip_bytes
0,0.015413234121711401,0.007438894792773645,4.785107612609863,4.656579494476318,113.40920265057522,63.6978394985199,24.796382904052734,0.5174598693847656,2.2382593154907227,220878
200,0.9670475684294446,0.3793836344314559,0.09143408387899399,13.827400207519531,103.64571053323547,38.83951818943024,28.925264358520508,0.4624443054199219,2.563488006591797,212857
400,0.9930906191868191,0.38168614948636204,0.0169778261333704,13.874067306518555,90.13641321000279,36.97073731157515,30.106672286987305,0.45932769775390625,2.2852377891540527,207265
600,0.9992027637523253,0.38629117959617426,0.0025713806971907616,14.377908706665039,80.87824368494506,35.35646626684401,31.004018783569336,0.4571342468261719,2.368960380554199,203769
800,1.0,0.39036486007793125,0.0007082892116159201,14.269492149353027,73.6362865626141,34.18003328641256,31.321609497070312,0.4575462341308594,2.6921277046203613,200202
1000,1.0,0.39125044279135673,9.729253361001611e-05,16.159177780151367,69.3548819437343,33.008117106225754,31.483993530273438,0.4563446044921875,2.9397974014282227,199262
1200,1.0,0.39195890896209706,1.2867083569290116e-05,18.102937698364258,66.43777555837391,32.07504665851593,31.8807430267334,0.4562492370605469,3.0937018394470215,200021
1400,1.0,0.393907190931633,1.969817049030098e-06,19.793346405029297,63.89275519630123,31.369553605715435,32.38016128540039,0.45529937744140625,3.15786075592041,201186
1600,1.0,0.3940843074743181,5.261299520498142e-07,20.588510513305664,61.03499264431198,30.874398430188496,32.7816047668457,0.4547462463378906,3.14396333694458,202215
1800,1.0,0.3942614240170032,3.4520951430749847e-07,20.253915786743164,58.13866902900279,30.490453879038494,33.011024475097656,0.4542274475097656,3.1090564727783203,202524
2000,1.0,0.39514700673042863,3.261702374857123e-07,19.712026596069336,56.00777804479658,30.038338714175755,33.071170806884766,0.4537391662597656,3.0905866622924805,202490
2200,1.0,0.3955012398157988,3.2674046224201447e-07,19.196186065673828,54.61854775248696,29.52521536085341,33.06886672973633,0.4532737731933594,3.0788326263427734,202371
