step,train_acc,test_acc,train_loss,test_loss,weight_l2,w_eff_rank,act_eff_rank,act_sparsity,act_kurtosis,gzip_bytes
0,0.498,0.49416666666666664,0.7135521769523621,0.7005106210708618,9.429051406171544,14.445976257324219,40.79331588745117,0.5070343017578125,2.4108920097351074,8473
200,1.0,0.5166666666666667,0.09965979307889938,1.2556525468826294,14.791541355903416,13.697498500347137,40.158973693847656,0.50592041015625,2.333197593688965,8367
400,1.0,0.5241666666666667,0.008690806105732918,1.9911571741104126,19.444409520775057,13.796304523944855,40.21800994873047,0.5058670043945312,2.324848175048828,8386
600,1.0,0.5341666666666667,0.0011610621586441994,2.60219669342041,22.353744159184792,13.819544196128845,40.22260665893555,0.5064544677734375,2.3290939331054688,8389
800,1.0,0.5366666666666666,0.0001761871244525537,3.1861648559570312,24.70517993674258,13.81732428073883,40.18174743652344,0.5071029663085938,2.315845489501953,8345
1000,1.0,0.5383333333333333,2.7931242584600113e-05,3.762802839279175,26.75710313082069,13.826655983924866,40.24982833862305,0.506927490234375,2.2984910011291504,8370
1200,1.0,0.5383333333333333,4.716972853202606e-06,4.340138912200928,28.496831166496946,13.825792849063873,40.28861618041992,0.5063705444335938,2.287580966949463,8396
1400,1.0,0.5408333333333334,9.51050878938986e-07,4.854449272155762,29.68215285423725,13.824241697788239,40.30699920654297,0.5065689086914062,2.279088020324707,8394
1600,1.0,0.5433333333333333,2.870559399070771e-07,5.208078384399414,29.91295868635844,13.821629405021667,40.28081130981445,0.5064010620117188,2.27156400680542,8373
1800,1.0,0.5416666666666666,1.6021726878534537e-07,5.328283309936523,29.37098788143275,13.818369746208191,40.23052978515625,0.506134033203125,2.2609353065490723,8311
2000,1.0,0.5433333333333333,1.3840197254921804e-07,5.305183410644531,28.62592852067272,13.816974759101868,40.175933837890625,0.5060577392578125,2.2510523796081543,8216
2200,1.0,0.545,1.3804434217945527e-07,5.2384562492370605,27.922630209921454,13.811098396778107,40.119327545166016,0.5057525634765625,2.246631622314453,8115
2400,1.0,0.5491666666666667,1.3625620454149612e-07,5.147012710571289,27.314311245988613,13.801025092601776,40.0598258972168,0.5055999755859375,2.247610092163086,8015
2600,1.0,0.5558333333333333,1.3637541940170195e-07,5.017387390136719,26.797895925330895,13.786220371723175,39.97481155395508,0.5053787231445312,2.254185676574707,7927
2800,1.0,0.5641666666666667,1.3446806690353696e-07,4.859523296356201,26.348783488440322,13.767810344696045,39.86738967895508,0.5052719116210938,2.265260696411133,7842
3000,1.0,0.5683333333333334,1.3494489792265085e-07,4.689304828643799,25.96239039464983,13.74624490737915,39.73272705078125,0.5058517456054688,2.2816314697265625,7747
3200,1.0,0.5766666666666667,1.320838833862581e-07,4.521818161010742,25.622767368609228,13.720402121543884,39.55651092529297,0.5055313110351562,2.3042521476745605,7684
3400,1.0,0.5841666666666666,1.2981890051833034e-07,4.334919452667236,25.308608544238336,13.690219163894653,39.3405876159668,0.5055618286132812,2.33541202545166,7637
3600,1.0,0.5925,1.2850759389948507e-07,4.138821601867676,25.02007500342759,13.657844483852386,39.087345123291016,0.50579833984375,2.376811981201172,7568
3800,1.0,0.5975,1.2338159649516456e-07,3.9152112007141113,24.737519848983283,13.620160043239594,38.776939392089844,0.505615234375,2.429884433746338,7518
4000,1.0,0.6091666666666666,1.266002556121748e-07,3.7008378505706787,24.47468535618719,13.577207386493683,38.42966079711914,0.5066375732421875,2.503152847290039,7439
4200,1.0,0.6133333333333333,1.2636182589176315e-07,3.5469486713409424,24.255111052794707,13.523725390434265,38.05851745605469,0.5063552856445312,2.605419158935547,7391
4400,1.0,0.6208333333333333,1.270770866312887e-07,3.403329372406006,24.061368080243593,13.466631472110748,37.65248489379883,0.5062637329101562,2.7271504402160645,7343
4600,1.0,0.6266666666666667,1.2564657936309231e-07,3.261425495147705,23.88391628809385,13.404583036899567,37.22529220581055,0.5061416625976562,2.8694562911987305,7302
4800,1.0,0.6333333333333333,1.2493131862356677e-07,3.1182656288146973,23.719829416026506,13.337179720401764,36.77510070800781,0.5060272216796875,3.0305347442626953,7259
5000,1.0,0.6408333333333334,1.2266634996649373e-07,2.9594953060150146,23.552881271545743,13.26740050315857,36.32777404785156,0.5054702758789062,3.2075304985046387,7214
5200,1.0,0.6575,1.2195108922696818e-07,2.7914724349975586,23.377248771251953,13.192591786384583,35.8719596862793,0.5054244995117188,3.4009909629821777,7167
5400,1.0,0.6675,1.2266634996649373e-07,2.6269900798797607,23.205311494297067,13.112915992736816,35.41866683959961,0.50616455078125,3.61116361618042,7119
5600,1.0,0.6766666666666666,1.2063979681897763e-07,2.480294942855835,23.039795157294744,13.019493281841278,34.92729568481445,0.5060806274414062,3.8427772521972656,7086
5800,1.0,0.69,1.1777876807173016e-07,2.3174099922180176,22.857541121545264,12.914824604988098,34.435874938964844,0.5059051513671875,4.079167366027832,7047
6000,1.0,0.7041666666666667,1.205205819587718e-07,2.1644668579101562,22.66716015254581,12.803020298480988,33.928226470947266,0.5066909790039062,4.340053558349609,7000
