step,train_acc,test_acc,train_loss,test_loss,weight_l2,w_eff_rank,act_eff_rank,act_sparsity,act_kurtosis,gzip_bytes
0,0.01222428913101249,0.010272759475735034,4.779707908630371,4.664931297302246,113.40706592069469,63.6970042652554,25.0264892578125,0.5114669799804688,2.2954659461975098,220878
200,0.9641243688546373,0.36432872830322355,0.10251706093549728,13.18510913848877,103.64136346478878,39.111607789993286,34.32194137573242,0.4698524475097656,1.927586555480957,213429
400,0.9949508370980601,0.36804817569961035,0.013158566318452358,13.194643020629883,90.09885661154374,36.90755301051669,33.47547912597656,0.46831512451171875,2.0837459564208984,207269
600,0.9997342545841085,0.37176762309599715,0.001303474185988307,13.637675285339355,80.54757592888778,35.1458734009001,32.94719696044922,0.46544647216796875,2.337076187133789,202603
800,1.0,0.3765497697484945,0.0004688279877882451,13.395825386047363,72.9851612072402,33.85231298870511,32.25971221923828,0.4656944274902344,2.672917366027832,201221
1000,1.0,0.37761246900460504,6.225070683285594e-05,15.062908172607422,68.44422780241919,32.561259071032204,31.49698257446289,0.4649162292480469,3.0462160110473633,200658
1200,1.0,0.37725823591923485,8.326783245138358e-06,16.641746520996094,65.31647868472095,31.4891459941864,30.766164779663086,0.4640998840332031,3.44234037399292,200650
1400,1.0,0.3767268862911796,1.3628113038066658e-06,17.954204559326172,62.60509318101461,30.634721782472397,29.99250030517578,0.4637908935546875,3.789919853210449,201396
1600,1.0,0.3767268862911796,4.4151460087960004e-07,18.4235897064209,59.655724912303846,29.994321571456062,29.362321853637695,0.4634590148925781,4.031935691833496,202525
1800,1.0,0.37778958554729014,3.267721524480294e-07,18.02142333984375,56.89010480744016,29.48190649350484,28.809701919555664,0.462921142578125,4.190542221069336,203409
2000,1.0,0.3790294013460857,3.215767492292798e-07,17.520736694335938,54.93050198472673,28.905643847253586,28.12961769104004,0.46222686767578125,4.413324356079102,203596
2200,1.0,0.3799149840595112,3.1853551263338886e-07,17.04938316345215,53.65457127588318,28.30393722322252,27.320995330810547,0.4622650146484375,4.709610939025879,203288
2400,1.0,0.38133191640099184,3.161595714118448e-07,16.613876342773438,52.796297086571016,27.712452292442322,26.522964477539062,0.46207427978515625,5.047676086425781,203186
2600,1.0,0.38133191640099184,3.1403706657329167e-07,16.19756317138672,52.17948860305321,27.15367779466841,25.736289978027344,0.4617347717285156,5.4069719314575195,203188
2800,1.0,0.38186326602904713,3.0988707067081123e-07,15.775503158569336,51.70178338042598,26.64263117313385,25.04339027404785,0.46164703369140625,5.748307228088379,203281
3000,1.0,0.3841657810839532,3.0814470619588974e-07,15.345842361450195,51.307227529423,26.18268671300676,24.381572723388672,0.4616508483886719,6.10997200012207,203475
3200,1.0,0.3841657810839532,3.0611721513196244e-07,14.894903182983398,50.96520891173516,25.762059410413105,23.767841339111328,0.4618721008300781,6.46622371673584,203633
3400,1.0,0.3850513637973787,3.028859509868198e-07,14.416097640991211,50.646819670642195,25.367380804485745,23.17542839050293,0.461212158203125,6.83249568939209,203537
3600,1.0,0.3861140630534892,3.02379078220838e-07,13.903143882751465,50.35064195452878,25.003643300798203,22.68335723876953,0.4608612060546875,7.117256164550781,203320
